iter,decision,simA,simB,sharpA,sharpB,timestamp
233,Reconstruction A,,,516.9834594726562,405.4676513671875,1759418884.8729007
234,Reconstruction B,,,702.8785400390625,1410.267333984375,1759418891.6414583
235,Reconstruction A,,,1074.4189453125,405.4676513671875,1759418897.8528423
236,Reconstruction B,,,621.5170288085938,1109.7950439453125,1759418904.1871712
237,Reconstruction A,,,864.6764526367188,405.4676513671875,1759418910.5640554
238,Reconstruction B,,,772.9263916015625,1393.8734130859375,1759418917.1122737
239,Reconstruction A,,,890.399658203125,405.4676513671875,1759418923.4540057
240,Reconstruction A,,,1603.12109375,405.4676513671875,1759418929.6675403
241,Reconstruction A,,,2921.447021484375,939.2451782226562,1759418936.5763586
242,Reconstruction A,,,828.9589233398438,405.4676513671875,1759418942.7343993
243,Reconstruction A,,,1236.940185546875,405.4676513671875,1759418949.093954
244,Reconstruction A,,,1086.153564453125,405.4676513671875,1759418955.326575
245,Reconstruction A,,,1015.7620239257812,993.7164916992188,1759418961.9322326
246,Reconstruction A,,,882.3482055664062,405.4676513671875,1759418968.18425
247,Reconstruction B,,,1707.83740234375,2042.6588134765625,1759418974.3839996
248,Reconstruction A,,,1413.5909423828125,405.4676513671875,1759418980.706847
249,Reconstruction A,,,652.1342163085938,405.4676513671875,1759418986.9079611
250,Reconstruction A,,,767.832275390625,405.4676513671875,1759418993.1300635
251,Reconstruction A,,,810.7838745117188,405.4676513671875,1759418999.3319888
252,Reconstruction B,,,694.900634765625,1267.303955078125,1759419005.8180127
253,Reconstruction A,,,1021.7128295898438,405.4676513671875,1759419012.1104288
254,Reconstruction A,,,863.55810546875,405.4676513671875,1759419018.3309016
255,Reconstruction A,,,646.4922485351562,405.4676513671875,1759419024.72327
256,Reconstruction A,,,777.2352294921875,405.4676513671875,1759419030.8909783
257,Reconstruction B,,,868.3984985351562,1037.212890625,1759419037.3406432
258,Reconstruction A,,,886.7772827148438,405.4676513671875,1759419043.4028006
259,Reconstruction A,,,557.5840454101562,403.6817321777344,1759419049.6332264
260,Reconstruction B,,,369.3905944824219,970.270263671875,1759419056.1969452
261,Reconstruction B,,,758.1357421875,4719.6669921875,1759419063.0099592
262,Reconstruction A,,,4276.56787109375,1588.3133544921875,1759419069.7237298
263,Reconstruction A,,,874.5584716796875,405.4676513671875,1759419075.9849355
264,Reconstruction B,,,856.9332885742188,1115.2689208984375,1759419082.4222846
265,Reconstruction A,,,921.9181518554688,403.6817321777344,1759419088.7220998
266,Reconstruction A,,,1370.540771484375,403.7259521484375,1759419095.0290291
267,Reconstruction A,,,1047.2171630859375,633.6536865234375,1759419101.219568
268,Reconstruction A,,,507.09808349609375,403.7259521484375,1759419107.5059354
269,Reconstruction B,,,865.84423828125,995.8150634765625,1759419113.935701
270,Reconstruction A,,,483.19940185546875,405.4676513671875,1759419120.7186894
271,Reconstruction A,,,869.05078125,649.3436889648438,1759419126.996647
272,Reconstruction B,,,234.7219696044922,1513.1343994140625,1759419133.444507
273,Reconstruction A,,,1286.140869140625,405.4676513671875,1759419139.5592277
274,Reconstruction A,,,809.4989013671875,405.4676513671875,1759419145.8032103
275,Reconstruction A,,,1970.091552734375,403.70355224609375,1759419152.135024
276,Reconstruction A,,,1042.9871826171875,893.230712890625,1759419158.4356787
277,Reconstruction A,,,728.212890625,405.4676513671875,1759419164.848127
278,Reconstruction A,,,980.4696655273438,405.4676513671875,1759419171.0282536
279,Reconstruction A,,,968.5154418945312,403.7259521484375,1759419177.2252293
280,Tie,,,1234.9215087890625,1224.3531494140625,1759419183.4601119
281,Reconstruction B,,,550.9158935546875,845.4485473632812,1759419190.0356438
282,Reconstruction A,,,559.4857177734375,405.4676513671875,1759419196.2341301
283,Reconstruction B,,,779.7056274414062,1003.1539306640625,1759419203.0094059
284,Reconstruction B,,,1350.793212890625,1435.34130859375,1759419214.4051354
285,Reconstruction A,,,862.5846557617188,405.4676513671875,1759419220.6117651
286,Reconstruction B,,,1302.7374267578125,1403.650390625,1759419227.1211371
287,Reconstruction A,,,1091.0885009765625,405.4676513671875,1759419233.2839587
288,Reconstruction B,,,1587.45263671875,1859.1329345703125,1759419239.5473602
289,Reconstruction A,,,1182.9954833984375,405.4676513671875,1759419245.8400774
290,Reconstruction B,,,677.5241088867188,1614.2623291015625,1759419252.1075282
291,Reconstruction B,,,1264.1063232421875,1696.141357421875,1759419258.4213293
292,Reconstruction B,,,761.1100463867188,1457.8797607421875,1759419264.7486362
293,Reconstruction A,,,872.9964599609375,403.6675720214844,1759419271.1865609
294,Reconstruction A,,,890.1248168945312,405.4676513671875,1759419277.5474007
295,Reconstruction A,,,811.4776000976562,405.4676513671875,1759419283.7579825
296,Reconstruction B,,,927.6968994140625,1127.796630859375,1759419289.9560337
297,Reconstruction B,,,1035.1973876953125,1060.515380859375,1759419301.435685
298,Reconstruction A,,,731.5407104492188,405.4676513671875,1759419307.678288
299,Reconstruction B,,,695.0877075195312,1450.7266845703125,1759419314.0103757
300,Reconstruction A,,,1252.6705322265625,405.4676513671875,1759419320.2695
301,Reconstruction A,,,830.8519287109375,405.4676513671875,1759419326.390119
302,Reconstruction B,,,682.028564453125,1096.3946533203125,1759419332.9513302
303,Reconstruction A,,,520.7975463867188,405.4676513671875,1759419339.200589
304,Reconstruction B,,,811.7321166992188,4289.1533203125,1759419345.7319355
305,Reconstruction A,,,4124.92724609375,1158.7061767578125,1759419352.2131062
306,Reconstruction A,,,657.5990600585938,405.4676513671875,1759419358.5905366
307,Reconstruction A,,,1014.6940307617188,403.6817321777344,1759419364.6876311
308,Reconstruction B,,,798.453857421875,1757.8768310546875,1759419371.1524866
309,Reconstruction A,,,1725.3358154296875,1676.859375,1759419383.1323545
310,Reconstruction A,,,1292.1612548828125,405.4676513671875,1759419389.3131785
311,Reconstruction A,,,1065.969970703125,562.5486450195312,1759419400.6527114
312,Reconstruction A,,,837.2188110351562,576.7970581054688,1759419406.9671211
313,Reconstruction B,,,354.8908996582031,405.4676513671875,1759419413.4335508
314,Reconstruction B,,,1432.3634033203125,1499.3916015625,1759419424.7802103
315,Reconstruction A,,,983.2512817382812,405.4676513671875,1759419430.975748
316,Reconstruction A,,,771.467529296875,403.6817321777344,1759419437.1387959
317,Reconstruction B,,,208.19839477539062,1640.3052978515625,1759419443.6399205
318,Reconstruction B,,,989.2755126953125,2048.582275390625,1759419450.1341875
319,Reconstruction A,,,1111.314697265625,405.4676513671875,1759419456.400029
320,Reconstruction B,,,987.7274169921875,1120.1944580078125,1759419462.8047762
321,Reconstruction A,,,816.39501953125,405.4676513671875,1759419469.1239529
322,Reconstruction B,,,577.1331787109375,1029.9381103515625,1759419475.8397996
323,Reconstruction A,,,2497.5400390625,749.8438720703125,1759419482.7366097
324,Reconstruction B,,,528.0072021484375,1992.155029296875,1759419489.533313
325,Reconstruction A,,,1341.6536865234375,403.6817321777344,1759419495.826486
326,Reconstruction A,,,811.2330322265625,405.4676513671875,1759419502.0958297
327,Reconstruction A,,,945.3218994140625,405.4676513671875,1759419508.3177948
328,Reconstruction A,,,1107.989501953125,867.1124877929688,1759419514.5709238
329,Reconstruction A,,,783.7847900390625,403.6817321777344,1759419520.9750822
330,Reconstruction B,,,807.6953735351562,1309.0599365234375,1759419527.2832823
331,Reconstruction A,,,902.5526123046875,405.4676513671875,1759419533.4956963
332,Reconstruction A,,,869.9154663085938,405.4676513671875,1759419539.7262838
333,Reconstruction A,,,1152.5587158203125,1060.5224609375,1759419546.2912738
334,Reconstruction A,,,843.4092407226562,405.4676513671875,1759419552.4849856
335,Reconstruction B,,,719.2494506835938,1037.623779296875,1759419558.7783399
336,Reconstruction A,,,716.5543212890625,405.4676513671875,1759419565.058236
337,Reconstruction A,,,1236.5709228515625,987.9662475585938,1759419571.4621067
338,Reconstruction A,,,827.052978515625,403.67193603515625,1759419577.6982734
339,Reconstruction A,,,732.6361083984375,405.4676513671875,1759419583.9756894
340,Reconstruction B,,,731.2307739257812,1811.7532958984375,1759419590.1220279
341,Reconstruction A,,,528.5369262695312,405.4676513671875,1759419596.3782043
342,Reconstruction A,,,684.024169921875,405.4676513671875,1759419602.5492923
343,Reconstruction B,,,1224.496826171875,1633.30029296875,1759419609.340952
344,Reconstruction A,,,856.0643310546875,405.4676513671875,1759419615.6681428
345,Reconstruction A,,,881.884521484375,403.6817321777344,1759419621.9700708
346,Reconstruction A,,,973.3907470703125,403.6817321777344,1759419628.2271543
347,Reconstruction A,,,674.3900756835938,408.9431457519531,1759419634.6020768
348,Reconstruction A,,,1724.0062255859375,405.0746154785156,1759419640.920235
349,Reconstruction A,,,814.478515625,406.8605041503906,1759419647.2446945
350,Reconstruction A,,,1512.3431396484375,717.1616821289062,1759419653.8250494
351,Reconstruction A,,,588.505859375,406.8605041503906,1759419659.9870617
352,Reconstruction B,,,635.1114501953125,1126.320556640625,1759419666.2870545
353,Reconstruction A,,,885.1915893554688,406.8605041503906,1759419672.4822562
354,Tie,,,891.2466430664062,890.7787475585938,1759419678.781452
355,Reconstruction B,,,428.3168029785156,841.7271728515625,1759419685.2765317
356,Reconstruction A,,,679.6705322265625,406.8605041503906,1759419691.6880443
357,Tie,,,407.2677917480469,406.8605041503906,1759419697.8619714
358,Reconstruction A,,,710.4534301757812,406.8605041503906,1759419704.1796985
359,Reconstruction A,,,1033.6517333984375,406.8605041503906,1759419710.366637
360,Reconstruction A,,,2921.447021484375,406.8605041503906,1759419716.5267994
361,Reconstruction A,,,2929.564208984375,796.7080078125,1759419722.8676543
362,Reconstruction A,,,514.7763061523438,406.8605041503906,1759419729.037779
363,Reconstruction A,,,495.78961181640625,406.8605041503906,1759419735.2719216
364,Reconstruction B,,,959.8136596679688,1263.6064453125,1759419741.5021203
365,Reconstruction B,,,709.3674926757812,830.5298461914062,1759419747.8392427
366,Reconstruction A,,,561.58251953125,406.8605041503906,1759419754.1209083
367,Reconstruction B,,,665.5313110351562,854.8307495117188,1759419760.5074298
368,Reconstruction A,,,615.032470703125,406.8605041503906,1759419766.7747707
369,Reconstruction B,,,938.314453125,1333.6356201171875,1759419773.6188297
370,Reconstruction A,,,862.5934448242188,406.8605041503906,1759419779.9001608
371,Reconstruction A,,,1434.6195068359375,811.5133666992188,1759419786.1963353
372,Tie,,,403.8171081542969,406.8605041503906,1759419792.679743
373,Reconstruction A,,,874.6205444335938,406.8605041503906,1759419799.4812307
374,Reconstruction A,,,645.005615234375,406.8605041503906,1759419805.6992693
375,Reconstruction A,,,1069.0186767578125,406.8605041503906,1759419811.953107
376,Reconstruction A,,,467.4605407714844,405.11279296875,1759419818.4569407
377,Reconstruction A,,,1883.7293701171875,406.8605041503906,1759419824.754047
378,Reconstruction B,,,525.3529052734375,1321.5931396484375,1759419831.2109492
